7kpbAC_antigen.pdb 7kpbHL_antibody.pdb
7kpgS_antigen.pdb 7kpgHL_antibody.pdb
7kpjE_antigen.pdb 7kpjAB_antibody.pdb
7kq7B_antigen.pdb 7kq7HL_antibody.pdb
7kqbC_antigen.pdb 7kqbKJ_antibody.pdb
7kqeC_antigen.pdb 7kqeJM_antibody.pdb
7kqgA_antigen.pdb 7kqgBC_antibody.pdb
7kqhB_antigen.pdb 7kqhHL_antibody.pdb
7kqiB_antigen.pdb 7kqiAC_antibody.pdb
7kqkP_antigen.pdb 7kqkHL_antibody.pdb
7kqlT_antigen.pdb 7kqlHL_antibody.pdb
7kr5FE_antigen.pdb 7kr5OP_antibody.pdb
7kraA_antigen.pdb 7kraIJ_antibody.pdb
7ks9B_antigen.pdb 7ks9HL_antibody.pdb
7ksgA_antigen.pdb 7ksgD_antibody.pdb
7ktxA_antigen.pdb 7ktxIJ_antibody.pdb
7kxjA_antigen.pdb 7kxjHL_antibody.pdb
7kxkB_antigen.pdb 7kxkIM_antibody.pdb
7kylZ_antigen.pdb 7kylXY_antibody.pdb
7kyoB_antigen.pdb 7kyoHL_antibody.pdb
7kzbC_antigen.pdb 7kzbAB_antibody.pdb
7kzxB_antigen.pdb 7kzxDC_antibody.pdb
7kzzA_antigen.pdb 7kzzDC_antibody.pdb
7l02A_antigen.pdb 7l02MK_antibody.pdb
7l0lEC_antigen.pdb 7l0lGJ_antibody.pdb
7l0nS_antigen.pdb 7l0nMN_antibody.pdb
7l1uAB_antigen.pdb 7l1uHh_antibody.pdb
7l1vAB_antigen.pdb 7l1vHh_antibody.pdb
7l2cA_antigen.pdb 7l2cHL_antibody.pdb
7l2dA_antigen.pdb 7l2dHL_antibody.pdb
7l2eA_antigen.pdb 7l2eHL_antibody.pdb
7l2fA_antigen.pdb 7l2fHL_antibody.pdb
7l3nBC_antigen.pdb 7l3nDE_antibody.pdb
7l56A_antigen.pdb 7l56HL_antibody.pdb
7l57B_antigen.pdb 7l57HL_antibody.pdb
7l58B_antigen.pdb 7l58HL_antibody.pdb
7l5bA_antigen.pdb 7l5bHL_antibody.pdb
7l5jA_antigen.pdb 7l5jYX_antibody.pdb
7l6vA_antigen.pdb 7l6vD_antibody.pdb
7l7dE_antigen.pdb 7l7dHL_antibody.pdb
7l7eb_antigen.pdb 7l7eTU_antibody.pdb
7l7rG_antigen.pdb 7l7rBA_antibody.pdb
7l8pC_antigen.pdb 7l8pEF_antibody.pdb
7la4A_antigen.pdb 7la4HL_antibody.pdb
7laaA_antigen.pdb 7laaHL_antibody.pdb
7labB_antigen.pdb 7labYX_antibody.pdb
7lbeA_antigen.pdb 7lbeHG_antibody.pdb
7lbfA_antigen.pdb 7lbfFE_antibody.pdb
7lbgA_antigen.pdb 7lbgFE_antibody.pdb
7lcnA_antigen.pdb 7lcnBD_antibody.pdb
7lcvC_antigen.pdb 7lcvAB_antibody.pdb
7ld1C_antigen.pdb 7ld1MN_antibody.pdb
7lddD_antigen.pdb 7lddKJ_antibody.pdb
7ldeD_antigen.pdb 7ldeKJ_antibody.pdb
7ldjC_antigen.pdb 7ldjG_antibody.pdb
7lexJ_antigen.pdb 7lexRP_antibody.pdb
7leyA_antigen.pdb 7leyDE_antibody.pdb
7lezN_antigen.pdb 7lezRP_antibody.pdb
7lf0C_antigen.pdb 7lf0FH_antibody.pdb
7lf1C_antigen.pdb 7lf1FH_antibody.pdb
7lf2C_antigen.pdb 7lf2GI_antibody.pdb
7lf7K_antigen.pdb 7lf7HL_antibody.pdb
7lf8A_antigen.pdb 7lf8HL_antibody.pdb
7lfaC_antigen.pdb 7lfaHL_antibody.pdb
7lfbX_antigen.pdb 7lfbHL_antibody.pdb
7lfdA_antigen.pdb 7lfdHL_antibody.pdb
7lg6EB_antigen.pdb 7lg6JM_antibody.pdb
7li6A_antigen.pdb 7li6BC_antibody.pdb
7li7A_antigen.pdb 7li7BC_antibody.pdb
7li8A_antigen.pdb 7li8BC_antibody.pdb
7li9A_antigen.pdb 7li9BC_antibody.pdb
7liaA_antigen.pdb 7liaBC_antibody.pdb
7lj4B_antigen.pdb 7lj4GF_antibody.pdb
7lj5A_antigen.pdb 7lj5ED_antibody.pdb
7ljaB_antigen.pdb 7ljaGF_antibody.pdb
7ljbA_antigen.pdb 7ljbED_antibody.pdb
7ljcABG_antigen.pdb 7ljcN_antibody.pdb
7ljdABG_antigen.pdb 7ljdN_antibody.pdb
7ljrA_antigen.pdb 7ljrST_antibody.pdb
7lk4P_antigen.pdb 7lk4FE_antibody.pdb
7lkbD_antigen.pdb 7lkbBC_antibody.pdb
7lkfA_antigen.pdb 7lkfHL_antibody.pdb
7lkgF_antigen.pdb 7lkgDE_antibody.pdb
7lkhA_antigen.pdb 7lkhHL_antibody.pdb
7lkiF_antigen.pdb 7lkiDE_antibody.pdb
7ll1A_antigen.pdb 7ll1HL_antibody.pdb
7ll2C_antigen.pdb 7ll2IJ_antibody.pdb
7llkE_antigen.pdb 7llkGH_antibody.pdb
7lllAB_antigen.pdb 7lllN_antibody.pdb
7llyAB_antigen.pdb 7llyN_antibody.pdb
7lm8A_antigen.pdb 7lm8HL_antibody.pdb
7lm9A_antigen.pdb 7lm9HL_antibody.pdb
7lo6A_antigen.pdb 7lo6LK_antibody.pdb
7lo7Z_antigen.pdb 7lo7HL_antibody.pdb
7lo8Z_antigen.pdb 7lo8HL_antibody.pdb
7lokA_antigen.pdb 7lokKJ_antibody.pdb
7lopZ_antigen.pdb 7lopWV_antibody.pdb
7lpnC_antigen.pdb 7lpnD_antibody.pdb
7lq7A_antigen.pdb 7lq7HL_antibody.pdb
7lqvA_antigen.pdb 7lqvHL_antibody.pdb
7lqwC_antigen.pdb 7lqwHL_antibody.pdb
7lr3C_antigen.pdb 7lr3AB_antibody.pdb
7lr4C_antigen.pdb 7lr4AB_antibody.pdb
7lrsC_antigen.pdb 7lrsDE_antibody.pdb
7lrtB_antigen.pdb 7lrtFG_antibody.pdb
7ls9A_antigen.pdb 7ls9HL_antibody.pdb
7lseE_antigen.pdb 7lseHL_antibody.pdb
7lsfE_antigen.pdb 7lsfHL_antibody.pdb
7lsgC_antigen.pdb 7lsgHL_antibody.pdb
7lssB_antigen.pdb 7lssHL_antibody.pdb
7lu9f_antigen.pdb 7lu9lk_antibody.pdb
7lucA_antigen.pdb 7lucFG_antibody.pdb
7lueC_antigen.pdb 7lueJN_antibody.pdb
7lvwF_antigen.pdb 7lvwK_antibody.pdb
7lwdA_antigen.pdb 7lwdHL_antibody.pdb
7lx2A_antigen.pdb 7lx2HL_antibody.pdb
