8g05AGB_antigen.pdb 8g05Ee_antibody.pdb
8g0wA_antigen.pdb 8g0wC_antibody.pdb
8g2yAB_antigen.pdb 8g2yN_antibody.pdb
8g30M_antigen.pdb 8g30EF_antibody.pdb
8g3mG_antigen.pdb 8g3mEF_antibody.pdb
8g3nG_antigen.pdb 8g3nEF_antibody.pdb
8g3oH_antigen.pdb 8g3oEF_antibody.pdb
8g3pB_antigen.pdb 8g3pCI_antibody.pdb
8g3qG_antigen.pdb 8g3qCB_antibody.pdb
8g3rG_antigen.pdb 8g3rCB_antibody.pdb
8g3vG_antigen.pdb 8g3vAL_antibody.pdb
8g3zC_antigen.pdb 8g3zHL_antibody.pdb
8g40G_antigen.pdb 8g40AL_antibody.pdb
8g4mAC_antigen.pdb 8g4mDE_antibody.pdb
8g4nA_antigen.pdb 8g4nHL_antibody.pdb
8g4oA_antigen.pdb 8g4oHL_antibody.pdb
8g4tFI_antigen.pdb 8g4tHL_antibody.pdb
8g4xA_antigen.pdb 8g4xHL_antibody.pdb
8g59AB_antigen.pdb 8g59Ss_antibody.pdb
8g5fC_antigen.pdb 8g5fJK_antibody.pdb
8g5gA_antigen.pdb 8g5gHL_antibody.pdb
8g5hC_antigen.pdb 8g5hJK_antibody.pdb
8g6iA_antigen.pdb 8g6iCB_antibody.pdb
8g6uB_antigen.pdb 8g6uCD_antibody.pdb
8g85KJ_antigen.pdb 8g85HL_antibody.pdb
8g8wA_antigen.pdb 8g8wB_antibody.pdb
8g94BC_antigen.pdb 8g94Ee_antibody.pdb
8g9wOE_antigen.pdb 8g9wHL_antibody.pdb
8g9xOB_antigen.pdb 8g9xHL_antibody.pdb
8g9yDOE_antigen.pdb 8g9yHL_antibody.pdb
8gasBG_antigen.pdb 8gasHL_antibody.pdb
8gb5A_antigen.pdb 8gb5BC_antibody.pdb
8gb6A_antigen.pdb 8gb6HL_antibody.pdb
8gb7A_antigen.pdb 8gb7HL_antibody.pdb
8gb8E_antigen.pdb 8gb8HL_antibody.pdb
8gf2A_antigen.pdb 8gf2CD_antibody.pdb
8gh4E_antigen.pdb 8gh4HL_antibody.pdb
8ghoC_antigen.pdb 8ghoAB_antibody.pdb
8ghpA_antigen.pdb 8ghpHL_antibody.pdb
8ghrA_antigen.pdb 8ghrC_antibody.pdb
8ghvAB_antigen.pdb 8ghvSs_antibody.pdb
8gjeA_antigen.pdb 8gjeHL_antibody.pdb
8gngA_antigen.pdb 8gngHL_antibody.pdb
8gnhB_antigen.pdb 8gnhHL_antibody.pdb
8gniA_antigen.pdb 8gniC_antibody.pdb
8gnjA_antigen.pdb 8gnjC_antibody.pdb
8gnkA_antigen.pdb 8gnkHL_antibody.pdb
8go8AV_antigen.pdb 8go8HL_antibody.pdb
8gocAG_antigen.pdb 8gocDE_antibody.pdb
8gooAG_antigen.pdb 8gooDE_antibody.pdb
8gouA_antigen.pdb 8gouIJ_antibody.pdb
8gp3AV_antigen.pdb 8gp3HL_antibody.pdb
8gp5X_antigen.pdb 8gp5EF_antibody.pdb
8gpgZ_antigen.pdb 8gpgAB_antibody.pdb
8gpiZT_antigen.pdb 8gpiAC_antibody.pdb
8gpjZW_antigen.pdb 8gpjAC_antibody.pdb
8gptA_antigen.pdb 8gptDE_antibody.pdb
8gpuA_antigen.pdb 8gpuHL_antibody.pdb
8gpxE_antigen.pdb 8gpxHL_antibody.pdb
8gpyB_antigen.pdb 8gpyCD_antibody.pdb
8gq1C_antigen.pdb 8gq1HL_antibody.pdb
8gq5A_antigen.pdb 8gq5a_antibody.pdb
8grr2_antigen.pdb 8grrHL_antibody.pdb
8gs9A_antigen.pdb 8gs9HK_antibody.pdb
8gsbA_antigen.pdb 8gsbHK_antibody.pdb
8gsc13_antigen.pdb 8gscHL_antibody.pdb
8gsd13_antigen.pdb 8gsdHL_antibody.pdb
8gse13_antigen.pdb 8gseHL_antibody.pdb
8gsfAC_antigen.pdb 8gsfHL_antibody.pdb
