1a14N_antigen.pdb 1a14HL_antibody.pdb
1a2yC_antigen.pdb 1a2yBA_antibody.pdb
1a3rP_antigen.pdb 1a3rHL_antibody.pdb
1acyP_antigen.pdb 1acyHL_antibody.pdb
1adqA_antigen.pdb 1adqHL_antibody.pdb
1afvA_antigen.pdb 1afvHL_antibody.pdb
1ahwF_antigen.pdb 1ahwED_antibody.pdb
1ai1P_antigen.pdb 1ai1HL_antibody.pdb
1ar1B_antigen.pdb 1ar1CD_antibody.pdb
1bgxT_antigen.pdb 1bgxHL_antibody.pdb
1bj1W_antigen.pdb 1bj1HL_antibody.pdb
1bogC_antigen.pdb 1bogBA_antibody.pdb
1bqlY_antigen.pdb 1bqlHL_antibody.pdb
1bvkC_antigen.pdb 1bvkBA_antibody.pdb
1bzqD_antigen.pdb 1bzqK_antibody.pdb
1c08C_antigen.pdb 1c08BA_antibody.pdb
1ce1P_antigen.pdb 1ce1HL_antibody.pdb
1cfnC_antigen.pdb 1cfnBA_antibody.pdb
1cfsC_antigen.pdb 1cfsBA_antibody.pdb
1cftC_antigen.pdb 1cftBA_antibody.pdb
1ct8D_antigen.pdb 1ct8BA_antibody.pdb
1cu4P_antigen.pdb 1cu4HL_antibody.pdb
1cz8V_antigen.pdb 1cz8YX_antibody.pdb
1deeH_antigen.pdb 1deeFE_antibody.pdb
1dqjC_antigen.pdb 1dqjBA_antibody.pdb
1dzbX_antigen.pdb 1dzbAa_antibody.pdb
1e4wP_antigen.pdb 1e4wHL_antibody.pdb
1e4xP_antigen.pdb 1e4xHL_antibody.pdb
1e6jP_antigen.pdb 1e6jHL_antibody.pdb
1egjA_antigen.pdb 1egjHL_antibody.pdb
1ejoP_antigen.pdb 1ejoHL_antibody.pdb
1eo8A_antigen.pdb 1eo8HL_antibody.pdb
1ezvE_antigen.pdb 1ezvXY_antibody.pdb
1f3rA_antigen.pdb 1f3rbB_antibody.pdb
1f58P_antigen.pdb 1f58HL_antibody.pdb
1f90E_antigen.pdb 1f90HL_antibody.pdb
1fbiX_antigen.pdb 1fbiHL_antibody.pdb
1fdlY_antigen.pdb 1fdlHL_antibody.pdb
1fe8A_antigen.pdb 1fe8HL_antibody.pdb
1fj1F_antigen.pdb 1fj1BA_antibody.pdb
1fnsA_antigen.pdb 1fnsHL_antibody.pdb
1fptP_antigen.pdb 1fptHL_antibody.pdb
1frgP_antigen.pdb 1frgHL_antibody.pdb
1fskG_antigen.pdb 1fskIH_antibody.pdb
1g6vA_antigen.pdb 1g6vK_antibody.pdb
1g7hC_antigen.pdb 1g7hBA_antibody.pdb
1g7iC_antigen.pdb 1g7iBA_antibody.pdb
1g7jC_antigen.pdb 1g7jBA_antibody.pdb
1g7lC_antigen.pdb 1g7lBA_antibody.pdb
1g7mC_antigen.pdb 1g7mBA_antibody.pdb
1g9mG_antigen.pdb 1g9mHL_antibody.pdb
1g9nG_antigen.pdb 1g9nHL_antibody.pdb
1gc1G_antigen.pdb 1gc1HL_antibody.pdb
1ggiP_antigen.pdb 1ggiHL_antibody.pdb
1h0dC_antigen.pdb 1h0dBA_antibody.pdb
1hezE_antigen.pdb 1hezDC_antibody.pdb
1hh6C_antigen.pdb 1hh6BA_antibody.pdb
1hh9C_antigen.pdb 1hh9BA_antibody.pdb
1hi6C_antigen.pdb 1hi6BA_antibody.pdb
1himP_antigen.pdb 1himLH_antibody.pdb
1hinP_antigen.pdb 1hinHL_antibody.pdb
1hysB_antigen.pdb 1hysDC_antibody.pdb
1i8iC_antigen.pdb 1i8iBA_antibody.pdb
1i8kC_antigen.pdb 1i8kBA_antibody.pdb
1i9rB_antigen.pdb 1i9rKM_antibody.pdb
1ic4Y_antigen.pdb 1ic4HL_antibody.pdb
1ic5Y_antigen.pdb 1ic5HL_antibody.pdb
1ic7Y_antigen.pdb 1ic7HL_antibody.pdb
1ifhP_antigen.pdb 1ifhHL_antibody.pdb
1iqdC_antigen.pdb 1iqdBA_antibody.pdb
1j1oY_antigen.pdb 1j1oHL_antibody.pdb
1j1pY_antigen.pdb 1j1pHL_antibody.pdb
1j1xY_antigen.pdb 1j1xHL_antibody.pdb
1j5oB_antigen.pdb 1j5oHL_antibody.pdb
1jhlA_antigen.pdb 1jhlHL_antibody.pdb
1jnhH_antigen.pdb 1jnhDC_antibody.pdb
1jp5C_antigen.pdb 1jp5aA_antibody.pdb
1jpsT_antigen.pdb 1jpsHL_antibody.pdb
1jrhI_antigen.pdb 1jrhHL_antibody.pdb
1jtoM_antigen.pdb 1jtoB_antibody.pdb
1jtpM_antigen.pdb 1jtpB_antibody.pdb
1jttL_antigen.pdb 1jttA_antibody.pdb
1k4cC_antigen.pdb 1k4cAB_antibody.pdb
1k4dC_antigen.pdb 1k4dAB_antibody.pdb
1kb5AB_antigen.pdb 1kb5HL_antibody.pdb
1kb9E_antigen.pdb 1kb9JK_antibody.pdb
1kc5P_antigen.pdb 1kc5HL_antibody.pdb
1kcrP_antigen.pdb 1kcrHL_antibody.pdb
1kcsP_antigen.pdb 1kcsHL_antibody.pdb
1kenCE_antigen.pdb 1kenTU_antibody.pdb
1kipC_antigen.pdb 1kipBA_antibody.pdb
1kiqC_antigen.pdb 1kiqBA_antibody.pdb
1kirC_antigen.pdb 1kirBA_antibody.pdb
1ktrP_antigen.pdb 1ktrHL_antibody.pdb
1kxqB_antigen.pdb 1kxqG_antibody.pdb
1kxtA_antigen.pdb 1kxtB_antibody.pdb
1kxvA_antigen.pdb 1kxvC_antibody.pdb
1kyoE_antigen.pdb 1kyoJK_antibody.pdb
1lk3B_antigen.pdb 1lk3IM_antibody.pdb
1melL_antigen.pdb 1melA_antibody.pdb
1mhpA_antigen.pdb 1mhpHL_antibody.pdb
1mlcE_antigen.pdb 1mlcBA_antibody.pdb
1mpaP_antigen.pdb 1mpaHL_antibody.pdb
1mvfD_antigen.pdb 1mvfB_antibody.pdb
1mvuP_antigen.pdb 1mvuBA_antibody.pdb
1n0xR_antigen.pdb 1n0xKM_antibody.pdb
1n5yB_antigen.pdb 1n5yHL_antibody.pdb
1n64P_antigen.pdb 1n64HL_antibody.pdb
1n6qB_antigen.pdb 1n6qHL_antibody.pdb
1n8zC_antigen.pdb 1n8zBA_antibody.pdb
1nakP_antigen.pdb 1nakHL_antibody.pdb
1nbyC_antigen.pdb 1nbyBA_antibody.pdb
1nbzC_antigen.pdb 1nbzBA_antibody.pdb
1ncaN_antigen.pdb 1ncaHL_antibody.pdb
1ncbN_antigen.pdb 1ncbHL_antibody.pdb
1nccN_antigen.pdb 1nccHL_antibody.pdb
1ncdN_antigen.pdb 1ncdHL_antibody.pdb
1ndgC_antigen.pdb 1ndgBA_antibody.pdb
1ndmC_antigen.pdb 1ndmBA_antibody.pdb
1nfdD_antigen.pdb 1nfdHG_antibody.pdb
1nl0G_antigen.pdb 1nl0HL_antibody.pdb
1nmaN_antigen.pdb 1nmaHL_antibody.pdb
1nmbN_antigen.pdb 1nmbHL_antibody.pdb
1nmcN_antigen.pdb 1nmcHL_antibody.pdb
1nsnS_antigen.pdb 1nsnHL_antibody.pdb
1oakA_antigen.pdb 1oakHL_antibody.pdb
1oazA_antigen.pdb 1oazHL_antibody.pdb
1ob1C_antigen.pdb 1ob1BA_antibody.pdb
1op9B_antigen.pdb 1op9A_antibody.pdb
1orqC_antigen.pdb 1orqBA_antibody.pdb
1orsC_antigen.pdb 1orsBA_antibody.pdb
1ospO_antigen.pdb 1ospHL_antibody.pdb
1otsB_antigen.pdb 1otsEF_antibody.pdb
1ottA_antigen.pdb 1ottCD_antibody.pdb
1otuB_antigen.pdb 1otuEF_antibody.pdb
1p2cC_antigen.pdb 1p2cBA_antibody.pdb
1p4bP_antigen.pdb 1p4bHL_antibody.pdb
1p84E_antigen.pdb 1p84JK_antibody.pdb
1pkqE_antigen.pdb 1pkqBA_antibody.pdb
1pz5C_antigen.pdb 1pz5BA_antibody.pdb
1q1jQ_antigen.pdb 1q1jIM_antibody.pdb
1qfuA_antigen.pdb 1qfuHL_antibody.pdb
1qfwB_antigen.pdb 1qfwIM_antibody.pdb
1qgc513_antigen.pdb 1qgcA4_antibody.pdb
1qkzP_antigen.pdb 1qkzHL_antibody.pdb
1qleB_antigen.pdb 1qleHL_antibody.pdb
1qnzP_antigen.pdb 1qnzHL_antibody.pdb
1r0aB_antigen.pdb 1r0aHL_antibody.pdb
1r3iC_antigen.pdb 1r3iHL_antibody.pdb
1r3jC_antigen.pdb 1r3jBA_antibody.pdb
1r3kC_antigen.pdb 1r3kBA_antibody.pdb
1r3lC_antigen.pdb 1r3lBA_antibody.pdb
1ri8B_antigen.pdb 1ri8A_antibody.pdb
1rjcB_antigen.pdb 1rjcA_antibody.pdb
1rjlC_antigen.pdb 1rjlBA_antibody.pdb
1rvf13_antigen.pdb 1rvfHL_antibody.pdb
1rzjG_antigen.pdb 1rzjHL_antibody.pdb
1rzkG_antigen.pdb 1rzkHL_antibody.pdb
1s5hC_antigen.pdb 1s5hBA_antibody.pdb
1s78B_antigen.pdb 1s78FE_antibody.pdb
1sm3P_antigen.pdb 1sm3HL_antibody.pdb
1svzD_antigen.pdb 1svzbB_antibody.pdb
1sy6A_antigen.pdb 1sy6HL_antibody.pdb
1t03B_antigen.pdb 1t03HL_antibody.pdb
1tetP_antigen.pdb 1tetHL_antibody.pdb
1tjgP_antigen.pdb 1tjgHL_antibody.pdb
1tjhP_antigen.pdb 1tjhHL_antibody.pdb
1tjiP_antigen.pdb 1tjiHL_antibody.pdb
1tpxA_antigen.pdb 1tpxBC_antibody.pdb
1tqbA_antigen.pdb 1tqbBC_antibody.pdb
1tqcA_antigen.pdb 1tqcBC_antibody.pdb
1tzgQ_antigen.pdb 1tzgIM_antibody.pdb
1tzhW_antigen.pdb 1tzhBA_antibody.pdb
1tziV_antigen.pdb 1tziBA_antibody.pdb
1u8hC_antigen.pdb 1u8hBA_antibody.pdb
1u8iC_antigen.pdb 1u8iBA_antibody.pdb
1u8jC_antigen.pdb 1u8jBA_antibody.pdb
1u8kC_antigen.pdb 1u8kBA_antibody.pdb
1u8lC_antigen.pdb 1u8lBA_antibody.pdb
1u8mC_antigen.pdb 1u8mBA_antibody.pdb
1u8nC_antigen.pdb 1u8nBA_antibody.pdb
1u8oC_antigen.pdb 1u8oBA_antibody.pdb
1u8pC_antigen.pdb 1u8pBA_antibody.pdb
1u8qC_antigen.pdb 1u8qBA_antibody.pdb
1u91C_antigen.pdb 1u91BA_antibody.pdb
1u92C_antigen.pdb 1u92BA_antibody.pdb
1u93C_antigen.pdb 1u93BA_antibody.pdb
1u95C_antigen.pdb 1u95BA_antibody.pdb
1ua6Y_antigen.pdb 1ua6HL_antibody.pdb
